sentenca,ambiente,bebida,comida,geral,localização,outros,preço,serviço
"Atendimento bom, lugar pequeno, porém aconchegante onde podes escolher entra área externa ou interna.",1,0,0,1,0,0,0,1
Lugar agradável atendimento não é muito bom por alguns garçons do segundo piso voltaria pela pizza,0,0,1,1,0,0,0,1
"Pra quem gosta de uma vida noturna, este é um bar histórico e com uma tradição forte para os moradores de Manaus, tem um sanduíche de pernil que é fora de serie, som, petiscos, um povo muito hospitaleiro e bem no Centro da cidade!",1,0,1,1,1,0,0,0
"Para quem já foi em uma boa churrascaria, a Búfalo não é das melhores.",0,0,0,1,0,0,0,0
Localizado em um ótimo shopping em Manaus.,0,0,0,0,1,0,0,0
"Boa opção para um almoço casual, boa opção para estar com os amigos, boa opção para um jantar aconchegante, boa opção para levar amigos que estão conhecendo a cidade... Enfim, para todas as ocasiões, uma opção que satisfaz todos os gostos!!",0,0,0,1,0,0,0,0
"Mesas dispostas na calçada e rua, petiscos bem servidos e  boa variedade, cerveja trincando de gelada.",1,1,1,0,0,0,0,0
ótima opção de lazer.,0,0,0,1,0,0,0,0
"No Abare podemos degustar de petiscos e pratos incríveis e ainda aproveitar a paisagem natural que deixe o Local mais agradável ainda, parabéns!",1,0,1,0,0,0,0,0
Precisa fechar uma área maior.,1,0,0,0,0,0,0,0
Alimentação excepcional!,0,0,1,0,0,0,0,0
"Ambiente tranquilo, uma ótima opção!!!",1,0,0,1,0,0,0,0
"Preço acima da média, contudo, excelente opção para uma boa refeição.",0,0,1,0,0,0,1,0
Restaurante regional de Manaus.,0,0,0,1,0,0,0,0
Excelente opção para lanche ou rodízio de sopas em Manaus.,0,0,1,0,0,0,0,0
"Melhor churrascaria de Manaus, ótimo atendimento.",0,0,0,1,0,0,0,1
"Adorei , atendimento excelente e os pratos uma delicia e uma paisagem espetacular !!!",1,0,1,1,0,0,0,1
"Banzeiro,um restaraurante com a verdadeira culinária amazônica e ótimos pratos,um restaurante excelente para ir com a família ou amigos.",0,0,0,1,0,0,0,0
"Pizzaria péssima, atendimento péssimo",0,0,0,1,0,0,0,1
"Ótima opção para um descanso no fim de semana, possui um delicioso restaurante flutuante com locação  de pranchas para praticar sup.",1,0,0,1,0,0,0,0
"Restaurante de culinária portuguesa, de longa tradição em Manaus (mais de 20 anos), o Alentejo não decepciona aos amantes de uma boa bacalhoada, em todas as suas mais diversas variedades.",0,0,1,1,0,0,0,0
"Pelo menos, na minha experiência, a única opção de carne gorda (carne suculenta) era costela, e mesmo assim estava bem seca (ressecada e borrachuda).",0,0,1,0,0,0,0,0
Ótimo restaurante!,0,0,0,1,0,0,0,0
Excelente opção para um ambiente confortável.,1,0,0,0,0,0,0,0
"Na cozinha a agitação tem nome: Felipe Schaedler, o jovem chef que fez fama ao utilizar elementos inusitados na sua cozinha regional e recentemente fincou um pé na capital paulista, com uma...filial.",0,0,0,0,0,0,0,1
Pontos negativos: - Cardápio caro e sem opção saudável.,0,0,1,0,0,0,0,0
Restaurante maravilhoso,0,0,0,1,0,0,0,0
"Ambiente tranquilo, aconchegante, boa música ao fundo e, o que mais gostei, tem opção vegetariana no cardápio.",1,0,1,0,0,0,0,0
Um dos ambientes tem um jardim de inverno maravilhoso.,1,0,0,0,0,0,0,0
"Lugar fica no centro histórico da cidade, vale a pena conhecer.",0,0,0,1,0,0,0,0
"Restaurante muito bonito, música ambiente de qualidade, comida maravilhosa, o atendimento foi ótimo em especial pelo sr. Pedro Jacks que nos deu a sugestão do prato que fez a felicidade da família!",1,0,0,0,0,0,0,1
"Bom local, instagramável, funcionários simpáticos, ambientes com espaço kids, área externa pra rua e pro bairro, showzinho ao vivo, área interna climatizada com 2 andares, tendo referência locais e até de série.",1,0,0,1,0,0,0,1
"Tudo muito agradável, até dente José Gregório muito atencioso!",0,0,0,1,0,0,0,1
"O Coco Bambu em Manaux, fica no Shopping Ponta Negra, lugar bem bacana, conta com segundo piso, espaço muito bonito, comida diferenciada, e para as mulheres que sentem aquele frio de sempre, levem casaquinho, pois os ar condicionados são muitos bons.",1,0,1,1,0,0,0,0
Restaurante muito bom!,0,0,0,1,0,0,0,0
É a melhor churrascaria de Manaus,0,0,0,1,0,0,0,0
O melhor restaurante de Manaus.,0,0,0,1,0,0,0,0
"Ótima, um bom restaurante",0,0,0,1,0,0,0,0
Melhor churrascaria.,0,0,0,1,0,0,0,0
Pizzaria tradicional de Manaus.,0,0,0,1,0,0,0,0
Ótimo restaurante.,0,0,0,1,0,0,0,0
Excelente restaurante.,0,0,0,1,0,0,0,0
"Um bar tradicional amazonense, recanto  de pessoas que gostam de uma cervejinha bem gelada e música ao vivo!",1,1,0,1,0,0,0,0
Excelente opção!,0,0,0,1,0,0,0,0
Restaurante muito bom para levar a família.,0,0,0,1,0,0,0,0
Ótimo restaurante.. é possível fazer fotos estilo cangaceiro rsrsrs,0,0,0,1,0,0,0,0
"Não é barzinho, é realmente um...restaurante mais sofisticado, porém a culinária me surpreendeu.Mais",0,0,1,1,0,0,0,0
Ótimo restaurante,0,0,0,1,0,0,0,0
"Restaurante agradável, serviço bom atencioso .",0,0,0,1,0,0,0,1
Tem área externa.,1,0,0,0,0,0,0,0
"Na cozinha a agitação tem nome: Felipe Schaedler, o jovem chef que fez fama ao utilizar elementos inusitados na sua cozinha regional e recentemente fincou um pé na capital paulista, com uma...filial.",0,0,0,0,0,0,0,1
Boa opção de menu executivo...Mais,0,0,1,0,0,0,0,0
"Restaurante novo, muito agradável e atendimento excelente.",0,0,0,1,0,0,0,1
Melhor restaurante de Manaus.,0,0,0,1,0,0,0,0
"Sem dúvida é o melhor restaurante da cidade quando o assunto é churrasco, além da carne ser deliciosa, os acompanhantos são tão bons quanto.",0,0,1,1,0,0,0,0
excelente atendimento comemoramos o aniversário da nossa irmã Maria muito bom atendimento agradeço a churrascaria bufalo e recomendo ela,0,0,0,1,0,0,0,1
Tudo de bom lugar ótimo pizzaria gostosa,0,0,1,1,0,0,0,0
"Lugar muito agradável, cafezinho com muitas opções, alem do ótimo visual do lugar.",1,1,0,1,0,0,0,0
Bar tradicional de Manaus.,0,0,0,1,0,0,0,0
Ambiente Retrô com uma biblioteca interessante!!,1,0,0,0,0,0,0,0
"Excelente opção em Manaus, comida típica e ambientes de excelente qualidade.",1,0,1,1,0,0,0,0
"Excelente restaurante, conheço a casa de Manaus,  não deve nada na qualidade do produtos, ótimos pratos e um excelente atendimento.",0,0,1,1,0,0,0,1
"O atendimento é muito bom, fica bem localizado em uma rua principal, o ruim é a questão do estacionamento, mas nada que atrapalhe.",0,0,0,0,1,0,0,1
melhor opção  de gastronomia japonesa na cidade de manaus não tem igual toda minha familia adorou magnifico!!!,0,0,1,1,0,0,0,0
"amamos a comida deste restaurante, muito gostoso mesmo, acho que um doselhores de Manaus.",0,0,1,1,0,0,0,0
"Boa pizzaria, amplo espaço, com direito a área para crianças, com sabores entre médio e bom.",1,0,1,1,0,0,0,0
A cada nova opção escolhida me surpreendia mais.,0,0,1,0,0,0,0,0
Pizzaria tradicional na cidade com ótimo atendimento.Tem estacionamento.,0,0,0,1,1,0,0,1
"Boa comida e é uma ótima opção para quem gosta de uma boa carne, melhor picanha da cidade!",0,0,1,0,0,0,0,0
"Alimentação de primeira qualidade, Natal chefe de cozinha top",0,0,1,0,0,0,0,1
Esse restaurante é e sempre foi uma ótima opção para se comer uma ótima carne de sol.,0,0,1,0,0,0,0,0
"Qualidade, personalidade, cardápio completo e uma vista pro rio negro muito linda",1,0,1,0,0,0,0,0
Mantém um boa tradição do churrasco,0,0,1,0,0,0,0,0
"Um restaurante excelente, comida muito boa e atendimento de primeira... a gentileza e delicadeza do Garçom Senna ao saber que era meu aniversário trouxe uma cortesia para cantar parabéns... muito obrigada?",0,0,1,1,0,0,0,1
@lilasigridmacena  olhaaaaa manaaa de repente essa seria a melhor opção!,0,0,0,1,0,0,0,0
Excelente opção em Manaus.,0,0,0,1,0,0,0,0
Ótimo restaurante.,0,0,0,1,0,0,0,0
"Para quem já foi em uma boa churrascaria, a Búfalo não é das melhores.",0,0,0,1,0,0,0,0
Rodízio com sushi mto competido....sushi acaba nas primeiras mesas....e quem senta no fundo tem dificuldade pra comer o sushi,0,0,0,0,0,0,0,1
Opção vegetariana de ótima qualidade.,0,0,1,0,0,0,0,0
A melhor pizzaria,0,0,0,1,0,0,0,0
Excelente opção de café do fim de tarde!,0,0,1,0,0,0,0,0
"Local conta com area externa (mais com segurança,pois é todo gradeado) e tambem area interna refrigerada, otimo atendimento e o proprio Adolpho passa nas mesas p saber se estamos bem servidos.",1,0,0,0,0,0,0,1
Gostei da pizza e massas atendimento do garçom gabriel muito legal a pizzaria família gostou aprovado,0,0,1,0,0,0,0,1
Uma das melhores pizzaria de Manaus,0,0,0,1,0,0,0,0
"Boa opção para café da manhã, bem localizado, preço bom, comida boa com diversas opções.",0,0,1,0,1,0,1,0
"Para os Amantes da Carne, é uma excelente opção!",0,0,1,0,0,0,0,0
Restaurante cheio mas não deixa a desejar no atendimento e na qualidade dos pratos!,1,0,1,0,0,0,0,1
Atendimento excelente e ambiente aconchegante.. com uma bela vista.,1,0,0,0,0,0,0,1
É uma ótima opção para quem realmente sabe apreciar a culinária paraense.,0,0,1,0,0,0,0,0
Um ótimo restaurante para levar a família.,0,0,0,1,0,0,0,0
Melhor pizza da zona sul chora pra vender fiado,0,0,1,0,0,0,0,0
"Um local super descontraído, bem confortável  e aconchegante, alimentação saborosa.",0,0,1,1,0,0,0,0
Rodízio de peixe é uma boa opção.,0,0,1,0,0,0,0,0
José Gregório  excelente !!!,0,0,0,0,0,0,0,1
"Estacionamento próprio, área climatizada e área externa/varanda como opção.",1,0,0,0,1,0,0,0
Muito boa opção de carnes em Manaus.,0,0,1,0,0,0,0,0
"Um bom restaurante,sem dúvidas!Atendimento perfeito,além do tradicional Bacalhau,oferece também,outras opções de carnes.Muito bom!",0,0,1,1,0,0,0,1
"Ótimo atendimento, adorei os vários ambientes para comer, área externa e climatizada.",1,0,0,0,0,0,0,1
"Um restaurante excelente, com uma saborosa culinária.",0,0,1,1,0,0,0,0
"Uma das Churrascaria mais tradicional de Manaus, a búfalo oferece um ambiente requintado e super agradável, com uma culinária sem igual, pratos ótimos e cardápio super variados vale pena conferir.",1,0,1,1,0,0,0,0
Para mim é sempre uma boa opção quando quero comida japonesa.,0,0,1,0,0,0,0,0
"O restaurante então maravilhoso, comidas tipicas .. amo",0,0,1,1,0,0,0,0
"Restaurante super acolhedor, ótimo ambiente, comidas sensacionais.. Só agradecer ao Sr. Jorge e o Senna que nos atenderam super bem, prestativos, atenciosos, e muito profissionais, principalmente com a minha mãe, que era aniversariante da noite.. deixo aqui meu muito obrigada..",1,0,1,1,0,0,0,1
Com pratos variados de frutos do mar e tem uma área kids muito boa para deixar as crianças.,1,0,1,0,0,0,0,0
"Há uma opção menos cara se entrar pela Gaúcho's Gourmet, no self-service.",0,0,0,0,0,0,1,0
"Cara foi muito incrível, melhor restaurante de Manaus #coco bambu, melhores pratos melhores sobremesas, juntamente com o garçom muito top é incrível, #LUCAS??",0,0,1,1,0,0,0,1
"Restaurante muito agradável, a comida é muito bem apresentado e muitas equipe uma volta com diferentes tipos de carnes para experimentar.",0,0,1,1,0,0,0,0
"Excelente local para comer peixes variados com custo beneficio acessível com muitas opções regionais destaco aqui costela de tambaqui ao qual achei excelente já fui algumas vezes e sempre peço mesmo prato pela sua qualidade, outros peixes regionais também se destacam como boa opção aproveito...Mais",0,0,1,1,0,0,1,0
"Restaurante bom, ótimo custo-benefício churrasco no peso e uma pasta de pimenta forte que é um grande diferencial.",0,0,1,1,0,0,1,0
"Apesar da falta de estacionamento próprio o Adolpho possui um ambiente muito bom, na minha opinião, a área externa é a opção ideal, principalmente para quem não tem pressa para sair do lugar.",1,0,0,0,1,0,0,0
"Restaurante bem conceituado em Manaus, mas de alguns anos pra cá a qualidade e quantidade de comida servida vem diminuindo e os preços aumentando!",0,0,1,1,0,0,1,0
Melhor restaurante e churrascaria que já visitei.,0,0,0,1,0,0,0,0
Excelente restaurante,0,0,0,1,0,0,0,0
"O bar é uma ótima opção pra quem quer fazer o esquenta, encerrar a noite, ou mesmo passar horas na mesa.",0,1,0,0,0,0,0,0
Área total climatizada.,1,0,0,0,0,0,0,0
Muito bom pra lazer,0,0,0,1,0,0,0,0
Restaurante rústico e o prato que degustamos foi simplesmente sensacional.,0,0,1,1,0,0,0,0
Sem contar que o preço é muito mais em conta do que de outras peixarias mais renomadas encontradas ao entorno da zona sul.,0,0,0,0,0,0,1,0
A unica coisa que não gostei é que o banheiro masculino fica no piso superior.,1,0,0,0,0,0,0,0
"Ressalto a dedicação dos profissionais, em especial, porque minha mãe deixou cair seu aparelho auditivo lá e mesmo sendo algo minúsculo e de difícil identificação os profissionais da limpeza tiveram o cuidado e a delicadeza de guardar mesmo sem saber o que era.",0,0,0,0,0,0,0,1
Ótimo restaurante!,0,0,0,1,0,0,0,0
