restaurante,comentario_stem,ambiente,bebida,comida,geral,localização,outros,preço,serviço
Coco Bambu Belém,muito toppp,0,0,0,0,0,0,0,0
Coco Bambu Belém,excelent,0,0,0,0,0,0,0,0
Coco Bambu Belém,ótimaaa,0,0,0,0,0,0,0,0
Coco Bambu Belém,"gratidão é a palavra chave , pelo carinho e por toda atenção , foi uma noit maravilhosa . obrigada ☺️💓",0,0,0,0,0,0,0,0
Coco Bambu Belém,"muito boa , ainda que foi pra comemorar uma data especi .",0,0,0,0,0,0,0,0
Coco Bambu Belém,foi maravilhoso,0,0,0,0,0,0,0,0
Coco Bambu Belém,juan,0,0,0,0,0,0,0,0
Coco Bambu Belém,excelent atendeimento do juan… adoramo !,0,0,0,0,0,0,0,0
Coco Bambu Belém,"2 time went twice felt bad , avoid ... i 've been in belem for work for 2 month and the two time i 've been to you both for dinner i had to take antibiot for a bacterium , onli after your dinner in your restaur and the best fish dish i wa sick , i do n't think so coincident , i hope you improv food safeti",0,0,0,0,0,0,0,0
Coco Bambu Belém,bom demai,0,0,0,0,0,0,0,0
Coco Bambu Belém,surpreendent os camaro uma delicia .,0,0,0,0,0,0,0,0
Coco Bambu Belém,great place and excel servic,0,0,0,0,0,0,0,0
Coco Bambu Belém,juan belem,0,0,0,0,0,0,0,0
Coco Bambu Belém,muito boa .,0,0,0,0,0,0,0,0
Coco Bambu Belém,excelência .,0,0,0,0,0,0,0,0
Coco Bambu Belém,foi muito bom juan excelent,0,0,0,0,0,0,0,0
Coco Bambu Belém,"maravilhosa , todo amamo . juan",0,0,0,0,0,0,0,0
Coco Bambu Belém,fantástica,0,0,0,0,0,0,0,0
Coco Bambu Belém,excelent,0,0,0,0,0,0,0,0
Coco Bambu Belém,incrível,0,0,0,0,0,0,0,0
Coco Bambu Belém,muito boa ! !,0,0,0,0,0,0,0,0
Coco Bambu Belém,muito boa,0,0,0,0,0,0,0,0
Coco Bambu Belém,kalio,0,0,0,0,0,0,0,0
Coco Bambu Belém,otimo,0,0,0,0,0,0,0,0
Coco Bambu Belém,estabelecimento incrível,0,0,0,0,0,0,0,0
Coco Bambu Belém,alejandro excelent !,0,0,0,0,0,0,0,0
Coco Bambu Belém,foi excelent o dia da mulher obrigada alejandro,0,0,0,0,0,0,0,0
Coco Bambu Belém,boa,0,0,0,0,0,0,0,0
Coco Bambu Belém,excepcion . já conhecia o restaurant de outro estado .,0,0,0,0,0,0,0,0
Coco Bambu Belém,o sr dutra foi excelent,0,0,0,0,0,0,0,0
Coco Bambu Belém,juan nota 10,0,0,0,0,0,0,0,0
Coco Bambu Belém,o melhor que já conheci em belém pará .,0,0,0,0,0,0,0,0
Coco Bambu Belém,foi ótimo,0,0,0,0,0,0,0,0
Coco Bambu Belém,"muito boa , parabén ao yuri e davi",0,0,0,0,0,0,0,0
Coco Bambu Belém,muito bem recebido pelo maîtr daniel !,0,0,0,0,0,0,0,0
Coco Bambu Belém,"amei , muito bom !",0,0,0,0,0,0,0,0
Coco Bambu Belém,excelent .,0,0,0,0,0,0,0,0
Coco Bambu Belém,o luiz é o melhor !,0,0,0,0,0,0,0,0
Coco Bambu Belém,maravilhosa como sempr,0,0,0,0,0,0,0,0
Coco Bambu Belém,davi,0,0,0,0,0,0,0,0
Coco Bambu Belém,fabulosa,0,0,0,0,0,0,0,0
Coco Bambu Belém,foi maravilhoso com o davi,0,0,0,0,0,0,0,0
Coco Bambu Belém,juan e kalio,0,0,0,0,0,0,0,0
Coco Bambu Belém,excelent ! ! !,0,0,0,0,0,0,0,0
Coco Bambu Belém,"excelent , juan",0,0,0,0,0,0,0,0
Coco Bambu Belém,o juan foi espetacular . parabén ! ! !,0,0,0,0,0,0,0,0
Coco Bambu Belém,"melhor gason , davi ♥️",0,0,0,0,0,0,0,0
Coco Bambu Belém,"show , edilson nota 10",0,0,0,0,0,0,0,0
Coco Bambu Belém,muito boa ! ! o isac estar de parabén ! !,0,0,0,0,0,0,0,0
Coco Bambu Belém,isac foi maravilhoso,0,0,0,0,0,0,0,0
Coco Bambu Belém,foi excelent !,0,0,0,0,0,0,0,0
Coco Bambu Belém,excelent !,0,0,0,0,0,0,0,0
Coco Bambu Belém,muitooo bom,0,0,0,0,0,0,0,0
Coco Bambu Belém,isac foi excelent com todo da mesa ! incrível ♥️,0,0,0,0,0,0,0,0
Coco Bambu Belém,excelent !,0,0,0,0,0,0,0,0
Coco Bambu Belém,ótima noit 😋,0,0,0,0,0,0,0,0
Coco Bambu Belém,foi excelent,0,0,0,0,0,0,0,0
Coco Bambu Belém,muito boa ☺️,0,0,0,0,0,0,0,0
Coco Bambu Belém,excelent 👍,0,0,0,0,0,0,0,0
Coco Bambu Belém,ótimo rafael gurjao,0,0,0,0,0,0,0,0
Coco Bambu Belém,rafael gurjão,0,0,0,0,0,0,0,0
Coco Bambu Belém,ezequiel,0,0,0,0,0,0,0,0
Coco Bambu Belém,mesmo padrão de todo os que já visitamo . excelent !,0,0,0,0,0,0,0,0
Coco Bambu Belém,fomo comemorar meu aniversário,0,0,0,0,0,0,0,0
